rounds,seeds,samples_per_seed,mean_of_means,stdev_of_means,min_mean,max_mean
2,5,2000,0.0142,0.0009,0.0128,0.0151
4,5,2000,0.0834,0.0028,0.0791,0.0863
8,5,2000,0.3259,0.0048,0.3175,0.3321
16,5,2000,0.5001,0.0008,0.4988,0.5011
32,5,2000,0.4999,0.0005,0.4992,0.5005
