rounds,output_bit_index,input_bits,seed_count,samples_per_seed_per_input_bit,total_samples_per_input_bit,baseline,mean_flip_rate,min_flip_rate,min_input_bit_index,max_flip_rate,max_input_bit_index,max_abs_delta_from_0_5,ci_excludes_baseline_count,holm_reject_count,holm_rejected_input_bits
13,225,256,20,500,10000,0.500000,0.494162,0.195400,231,0.781900,245,0.304600,41,25,192 206 218 224 226 228 229 230 231 233 234 235 237 238 239 242 243 244 245 248 249 250 252 253 255
13,228,256,20,500,10000,0.500000,0.492892,0.198500,234,0.785900,248,0.301500,41,28,195 199 209 213 221 224 226 227 229 231 232 233 234 236 237 238 240 241 242 245 246 247 248 250 251 252 253 255
13,231,256,20,500,10000,0.500000,0.494541,0.166700,224,0.798700,251,0.333300,45,26,192 198 202 212 224 226 227 229 230 232 234 235 236 237 239 240 241 243 244 245 248 249 250 251 254 255
13,254,256,20,500,10000,0.500000,0.490956,0.135700,228,0.839300,236,0.364300,43,26,203 214 215 221 225 226 227 228 230 231 232 234 235 236 239 240 241 242 245 246 247 249 250 252 253 255
13,255,256,20,500,10000,0.500000,0.488720,0.064900,224,0.842300,237,0.435100,49,32,194 199 203 204 214 216 218 221 222 224 226 227 228 229 231 232 233 235 236 237 240 241 242 243 245 246 247 248 250 251 253 254
