rounds,output_bits,total_samples_per_bit,baseline,alpha,min_flip_rate,max_flip_rate,max_abs_delta_from_baseline,holm_reject_count,ci_excludes_baseline_count
2,256,10000,0.500000,0.050000,0.000000,0.062200,0.500000,256,256
4,256,10000,0.500000,0.050000,0.003300,0.187200,0.496700,256,256
8,256,10000,0.500000,0.050000,0.204900,0.442400,0.295100,256,256
16,256,10000,0.500000,0.050000,0.487900,0.512100,0.012100,0,11
32,256,10000,0.500000,0.050000,0.483400,0.516400,0.016600,0,17
