rounds,seeds,samples_per_seed,total_samples,baseline,mean,ci_level,ci_method,bootstrap_iterations,bootstrap_seed,ci_low,ci_high,baseline_delta,baseline_delta_ci_low,baseline_delta_ci_high,ci_contains_baseline,per_sample_ci_low,per_sample_ci_high,ci_low_minus_per_sample,ci_high_minus_per_sample,min,max
16,20,2000,40000,0.500000,0.500182,0.950000,hierarchical_seed_percentile_bootstrap,2000,20260528,0.499729,0.500629,0.000182,-0.000271,0.000629,True,0.499889,0.500488,-0.000160,0.000141,0.363281,0.636719
32,20,2000,40000,0.500000,0.500040,0.950000,hierarchical_seed_percentile_bootstrap,2000,20260544,0.499645,0.500437,0.000040,-0.000355,0.000437,True,0.499753,0.500340,-0.000108,0.000097,0.378906,0.625000
