rounds,seeds,samples_per_seed,total_samples,baseline,mean,ci_level,ci_method,bootstrap_iterations,bootstrap_seed,ci_low,ci_high,baseline_delta,baseline_delta_ci_low,baseline_delta_ci_high,ci_contains_baseline,min,max
16,20,2000,40000,0.500000,0.500182,0.950000,per_sample_percentile_bootstrap,2000,20260528,0.499889,0.500488,0.000182,-0.000111,0.000488,True,0.363281,0.636719
32,20,2000,40000,0.500000,0.500040,0.950000,per_sample_percentile_bootstrap,2000,20260544,0.499753,0.500340,0.000040,-0.000247,0.000340,True,0.378906,0.625000
