rounds,seeds,samples_per_seed,total_samples,output_bits,mean_flip_rate,min_flip_rate,min_bit_index,max_flip_rate,max_bit_index,max_abs_delta_from_baseline
9,5,2000,10000,256,0.386652,0.266400,255,0.498800,28,0.233600
10,5,2000,10000,256,0.437913,0.328400,255,0.513200,9,0.171600
11,5,2000,10000,256,0.473403,0.396800,255,0.511400,37,0.103200
12,5,2000,10000,256,0.493620,0.454000,228,0.514300,69,0.046000
13,5,2000,10000,256,0.499301,0.478400,255,0.515000,119,0.021600
14,5,2000,10000,256,0.499936,0.485000,74,0.512600,168,0.015000
15,5,2000,10000,256,0.499846,0.486500,180,0.514600,184,0.014600
