rounds,output_bits,total_samples_per_bit,baseline,alpha,min_flip_rate,max_flip_rate,max_abs_delta_from_baseline,holm_reject_count,ci_excludes_baseline_count
9,256,10000,0.500000,0.050000,0.266400,0.498800,0.233600,234,245
10,256,10000,0.500000,0.050000,0.328400,0.513200,0.171600,167,188
11,256,10000,0.500000,0.050000,0.396800,0.511400,0.103200,97,126
12,256,10000,0.500000,0.050000,0.454000,0.514300,0.046000,35,66
13,256,10000,0.500000,0.050000,0.478400,0.515000,0.021600,1,20
14,256,10000,0.500000,0.050000,0.485000,0.512600,0.015000,0,14
15,256,10000,0.500000,0.050000,0.486500,0.514600,0.014600,0,16
