rounds,seeds,samples_per_seed,total_samples,baseline,mean,ci_level,ci_method,bootstrap_iterations,bootstrap_seed,ci_low,ci_high,baseline_delta,baseline_delta_ci_low,baseline_delta_ci_high,ci_contains_baseline,min,max
12,5,2000,10000,0.500000,0.493620,0.950000,per_sample_percentile_bootstrap,2000,20260522,0.492915,0.494339,-0.006380,-0.007085,-0.005661,False,0.339844,0.613281
13,5,2000,10000,0.500000,0.499301,0.950000,per_sample_percentile_bootstrap,2000,20260523,0.498677,0.499905,-0.000699,-0.001323,-0.000095,False,0.367188,0.621094
