rounds,seeds,samples_per_seed,total_samples,baseline,mean,ci_level,ci_method,bootstrap_iterations,bootstrap_seed,ci_low,ci_high,baseline_delta,baseline_delta_ci_low,baseline_delta_ci_high,ci_contains_baseline,per_sample_ci_low,per_sample_ci_high,ci_low_minus_per_sample,ci_high_minus_per_sample,min,max
12,5,2000,10000,0.500000,0.493620,0.950000,hierarchical_seed_percentile_bootstrap,2000,20260522,0.492833,0.494454,-0.006380,-0.007167,-0.005546,False,0.492915,0.494339,-0.000082,0.000115,0.339844,0.613281
13,5,2000,10000,0.500000,0.499301,0.950000,hierarchical_seed_percentile_bootstrap,2000,20260523,0.498378,0.500203,-0.000699,-0.001622,0.000203,True,0.498677,0.499905,-0.000299,0.000298,0.367188,0.621094
