rounds,input_bit_index,output_bit_index,seed,rng_seed,samples,flip_count,flip_rate,baseline_delta
13,5,255,5,20265517,500,261,0.522000,0.022000
13,5,255,6,20266517,500,258,0.516000,0.016000
13,5,255,7,20267517,500,251,0.502000,0.002000
13,5,255,8,20268517,500,249,0.498000,-0.002000
13,5,255,9,20269517,500,260,0.520000,0.020000
13,5,255,10,20270517,500,244,0.488000,-0.012000
13,5,255,11,20271517,500,232,0.464000,-0.036000
13,5,255,12,20272517,500,255,0.510000,0.010000
13,5,255,13,20273517,500,255,0.510000,0.010000
13,5,255,14,20274517,500,246,0.492000,-0.008000
13,5,255,15,20275517,500,243,0.486000,-0.014000
13,5,255,16,20276517,500,239,0.478000,-0.022000
13,5,255,17,20277517,500,258,0.516000,0.016000
13,5,255,18,20278517,500,256,0.512000,0.012000
13,5,255,19,20279517,500,238,0.476000,-0.024000
13,5,255,20,20280517,500,266,0.532000,0.032000
13,6,255,1,20261518,500,260,0.520000,0.020000
13,6,255,2,20262518,500,254,0.508000,0.008000
13,6,255,3,20263518,500,243,0.486000,-0.014000
13,6,255,4,20264518,500,274,0.548000,0.048000
13,6,255,5,20265518,500,251,0.502000,0.002000
13,6,255,6,20266518,500,254,0.508000,0.008000
13,6,255,7,20267518,500,229,0.458000,-0.042000
13,6,255,8,20268518,500,270,0.540000,0.040000
13,6,255,9,20269518,500,260,0.520000,0.020000
13,6,255,10,20270518,500,269,0.538000,0.038000
13,6,255,11,20271518,500,249,0.498000,-0.002000
13,6,255,12,20272518,500,250,0.500000,0.000000
13,6,255,13,20273518,500,234,0.468000,-0.032000
13,6,255,14,20274518,500,261,0.522000,0.022000
13,6,255,15,20275518,500,232,0.464000,-0.036000
13,6,255,16,20276518,500,249,0.498000,-0.002000
13,6,255,17,20277518,500,234,0.468000,-0.032000
13,6,255,18,20278518,500,254,0.508000,0.008000
13,6,255,19,20279518,500,245,0.490000,-0.010000
13,6,255,20,20280518,500,253,0.506000,0.006000
13,7,255,1,20261519,500,248,0.496000,-0.004000
13,7,255,2,20262519,500,259,0.518000,0.018000
13,7,255,3,20263519,500,243,0.486000,-0.014000
13,7,255,4,20264519,500,268,0.536000,0.036000
13,7,255,5,20265519,500,261,0.522000,0.022000
13,7,255,6,20266519,500,254,0.508000,0.008000
13,7,255,7,20267519,500,241,0.482000,-0.018000
13,7,255,8,20268519,500,256,0.512000,0.012000
13,7,255,9,20269519,500,243,0.486000,-0.014000
13,7,255,10,20270519,500,244,0.488000,-0.012000
13,7,255,11,20271519,500,249,0.498000,-0.002000
13,7,255,12,20272519,500,232,0.464000,-0.036000
13,7,255,13,20273519,500,235,0.470000,-0.030000
13,7,255,14,20274519,500,260,0.520000,0.020000
13,7,255,15,20275519,500,240,0.480000,-0.020000
13,7,255,16,20276519,500,238,0.476000,-0.024000
13,7,255,17,20277519,500,238,0.476000,-0.024000
13,7,255,18,20278519,500,262,0.524000,0.024000
13,7,255,19,20279519,500,245,0.490000,-0.010000
13,7,255,20,20280519,500,250,0.500000,0.000000
13,8,255,1,20261520,500,260,0.520000,0.020000
13,8,255,2,20262520,500,249,0.498000,-0.002000
