rounds,seeds,samples_per_seed,total_samples,output_bits,mean_flip_rate,min_flip_rate,min_bit_index,max_flip_rate,max_bit_index,max_abs_delta_from_baseline
2,5,2000,10000,256,0.014161,0.000000,64,0.062200,13,0.500000
4,5,2000,10000,256,0.083370,0.003300,127,0.187200,17,0.496700
8,5,2000,10000,256,0.325878,0.204900,255,0.442400,4,0.295100
16,5,2000,10000,256,0.500120,0.487900,155,0.512100,192,0.012100
32,5,2000,10000,256,0.499881,0.483400,241,0.516400,176,0.016600
